Year;Western Champion;Eastern Champion;Result;NBA Champion;NBA Vice-Champion;Final Sweep ?;Finals MVP;MVP Name;MVP Height (m);MVP Height (ft);MVP Position;MVP Team;MVP Nationality;MVP status;;;
1950;Minneapolis Lakers;Syracuse Nationals;4–2;Minneapolis Lakers;Syracuse Nationals;False;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;
1951;Rochester Royals;New York Knicks;4–3;Rochester Royals;New York Knicks;False;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;
1952;Minneapolis Lakers;New York Knicks;4–3;Minneapolis Lakers;New York Knicks;False;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;
1953;Minneapolis Lakers;New York Knicks;4–1;Minneapolis Lakers;New York Knicks;False;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;
1954;Minneapolis Lakers;Syracuse Nationals;4–3;Minneapolis Lakers;Syracuse Nationals;False;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;
1955;Fort Wayne Pistons;Syracuse Nationals;3–4;Syracuse Nationals;Fort Wayne Pistons;False;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;
1956;Fort Wayne Pistons;Philadelphia Warriors;1–4;Philadelphia Warriors;Fort Wayne Pistons;False;N/A;B. Pettit;2,06;6,76;Forward;Saint Louis Hawks;US;Not reached Final;;;
1957;St. Louis Hawks;Boston Celtics;3–4;Boston Celtics;St. Louis Hawks;False;N/A;B. Cousy;1,85;6,07;Guard;Boston Celtics;US;Champion;;;
1958;St. Louis Hawks;Boston Celtics;4–2;St. Louis Hawks;Boston Celtics;False;N/A;B. Russell;2,08;6,82;Center;Boston Celtics;US;Vice-Champion;;;
1959;Minneapolis Lakers;Boston Celtics;0–4;Boston Celtics;Minneapolis Lakers;True;N/A;B. Pettit;2,06;6,76;Forward;Saint Louis Hawks;US;Not reached Final;;;
1960;St. Louis Hawks;Boston Celtics;3–4;Boston Celtics;St. Louis Hawks;False;N/A;W. Chamberlain;2,16;7,09;Center;Philadelphia Warriors;US;Not reached Final;;;
1961;St. Louis Hawks;Boston Celtics;1–4;Boston Celtics;St. Louis Hawks;False;N/A;B. Russell;2,08;6,82;Center;Boston Celtics;US;Champion;;;
1962;Los Angeles Lakers;Boston Celtics;3–4;Boston Celtics;Los Angeles Lakers;False;N/A;B. Russell;2,08;6,82;Center;Boston Celtics;US;Champion;;;
1963;Los Angeles Lakers;Boston Celtics;2–4;Boston Celtics;Los Angeles Lakers;False;N/A;B. Russell;2,08;6,82;Center;Boston Celtics;US;Champion;;;
1964;San Francisco Warriors;Boston Celtics;1–4;Boston Celtics;San Francisco Warriors;False;N/A;O. Robertson;1,96;6,43;Guard;Cincinnati Royals;US;Not reached Final;;;
1965;Los Angeles Lakers;Boston Celtics;1–4;Boston Celtics;Los Angeles Lakers;False;N/A;B. Russell;2,08;6,82;Center;Boston Celtics;US;Champion;;;
1966;Los Angeles Lakers;Boston Celtics;3–4;Boston Celtics;Los Angeles Lakers;False;N/A;W. Chamberlain;2,16;7,09;Center;Philadelphia 76ers;US;Not reached Final;;;
1967;San Francisco Warriors;Philadelphia 76ers;2–4;Philadelphia 76ers;San Francisco Warriors;False;N/A;W. Chamberlain;2,16;7,09;Center;Philadelphia 76ers;US;Champion;;;
1968;Los Angeles Lakers;Boston Celtics;2–4;Boston Celtics;Los Angeles Lakers;False;N/A;W. Chamberlain;2,16;7,09;Center;Philadelphia 76ers;US;Not reached Final;;;
1969;Los Angeles Lakers;Boston Celtics;3–4;Boston Celtics;Los Angeles Lakers;False;J. West;W. Unseld;2,01;6,59;Center;Baltimore Bullets;US;Not reached Final;;;
1970;Los Angeles Lakers;New York Knicks;3–4;New York Knicks;Los Angeles Lakers;False;W. Reed;W. Reed;2,06;6,76;Center;New York Knicks;US;Champion;;;
1971;Milwaukee Bucks;Baltimore Bullets;4–0;Milwaukee Bucks;Baltimore Bullets;True;K. Abdul-Jabbar;K. AJabbar;2,18;7,15;Center;Milwaukee Bucks;US;Champion;;;
1972;Los Angeles Lakers;New York Knicks;4–1;Los Angeles Lakers;New York Knicks;False;W. Chamberlain;K. AJabbar;2,18;7,15;Center;Milwaukee Bucks;US;Not reached Final;;;
1973;Los Angeles Lakers;New York Knicks;1–4;New York Knicks;Los Angeles Lakers;False;W. Reed;D. Cowens;2,06;6,76;Center;Boston Celtics;US;Not reached Final;;;
1974;Milwaukee Bucks;Boston Celtics;3–4;Boston Celtics;Milwaukee Bucks;False;J. Havlicek;K. AJabbar;2,18;7,15;Center;Milwaukee Bucks;US;Vice-Champion;;;
1975;Golden State Warriors;Washington Bullets;4–0;Golden State Warriors;Washington Bullets;True;R. Barry;B. McAdoo;2,06;6,76;Center;Buffalo Braves;US;Not reached Final;;;
1976;Phoenix Suns;Boston Celtics;2–4;Boston Celtics;Phoenix Suns;False;J. White;K. AJabbar;2,18;7,15;Center;Los Angeles Lakers;US;Not reached Final;;;
1977;Portland Trail Blazers;Philadelphia 76ers;4–2;Portland Trail Blazers;Philadelphia 76ers;False;B. Walton;K. A-Jabbar;2,18;7,15;Center;Los Angeles Lakers;US;Not reached Final;;;
